doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1364/JOSAA.34.000A37,spica stellar parameter image cophased array visible combiner chara array,journal optical society america,spica stellar parameter image cophased array visible combiner chara array journal optical society america,"Physical sciences, Astronomy"
10.1364/NP.2016.NW3B.5,spatio temporal extreme event laser saturable absorber,photonics fiber technology acoft bgpp,spatio temporal extreme event laser saturable absorber photonics fiber technology acoft bgpp,"Physical sciences, Astronomy"
10.1364/NP.2016.NTh2B.7,excitability laser injected signal beyond pure phase dynamic model,photonics fiber technology acoft bgpp,excitability laser injected signal beyond pure phase dynamic model photonics fiber technology acoft bgpp,"Physical sciences, Astronomy"
10.1364/ACOFT.2016.JT4A.4,characterization nonlinear response class microlasers threshold region,photonics fiber technology acoft bgpp,characterization nonlinear response class microlasers threshold region photonics fiber technology acoft bgpp,"Physical sciences, Astronomy"
10.1109/PRDC.2017.51,formal specification verification security guideline,ieee pacific rim international symposium dependable computing prdc,formal specification verification security guideline ieee pacific rim international symposium dependable computing prdc,Computer and information sciences
10.1002/2017TC004511,polyphased tectonic evolution anegada passage northern lesser antilles subduction zone,tectonics,polyphased tectonic evolution anegada passage northern lesser antilles subduction zone tectonics,"Earth, Ecology, Energy and applied biology"
10.1364/ACOFT.2016.JT4A.3,identification threshold mesoscale laser,photonics fiber technology acoft bgpp,identification threshold mesoscale laser photonics fiber technology acoft bgpp,"Physical sciences, Astronomy"
10.1364/NP.2016.NW3B.2,topological soliton addressable phase bit driven laser,photonics fiber technology acoft bgpp,topological soliton addressable phase bit driven laser photonics fiber technology acoft bgpp,"Physical sciences, Astronomy"
10.23919/EuCAP.2017.7928688,compact antenna using liquid metal additive technology,european conference antenna propagation eucap,compact antenna using liquid metal additive technology european conference antenna propagation eucap,Computer and information sciences
10.1158/2159-8290.CD-16-0441,chemotherapy resistant human acute myeloid leukemia cell enriched leukemic stem cell require oxidative metabolism,cancer discovery,chemotherapy resistant human acute myeloid leukemia cell enriched leukemic stem cell require oxidative metabolism cancer discovery,Medical research
10.1074/jbc.M116.743070,amyloid production regulated adrenergic signaling mediated post translational modification ryanodine receptor,journal biological chemistry,amyloid production regulated adrenergic signaling mediated post translational modification ryanodine receptor journal biological chemistry,Biology (fond.)
10.11613/BM.2017.034,insight glicentin promising peptide proglucagon family,biochemia medica,insight glicentin promising peptide proglucagon family biochemia medica,Medical research
10.23919/EuCAP.2017.7928541,dosimetry hyperthermia computation human tissue presence wave using tlm method,european conference antenna propagation eucap,dosimetry hyperthermia computation human tissue presence wave using tlm method european conference antenna propagation eucap,Computer and information sciences
10.1172/JCI88936,neonatal expression rna binding protein igfbp regulates human fetal adult megakaryocyte transition,journal clinical investigation,neonatal expression rna binding protein igfbp regulates human fetal adult megakaryocyte transition journal clinical investigation,Medical research
10.23919/EuCAP.2017.7928636,technique increase directivity reconfigurable array antenna wireless sensor network,european conference antenna propagation eucap,technique increase directivity reconfigurable array antenna wireless sensor network european conference antenna propagation eucap,Computer and information sciences
10.23919/EuCAP.2017.7928718,reconfigurable beam dual polarized microstrip cross patch antenna,european conference antenna propagation eucap,reconfigurable beam dual polarized microstrip cross patch antenna european conference antenna propagation eucap,Computer and information sciences
10.1109/JURSE.2017.7924629,urban object classification spectral library feasibility application,joint urban remote sensing event jurse,urban object classification spectral library feasibility application joint urban remote sensing event jurse,"Earth, Ecology, Energy and applied biology"
10.1172/JCI91291,comparative oncogenomics identifies tyrosine kinase fe tumor suppressor melanoma,journal clinical investigation,comparative oncogenomics identifies tyrosine kinase fe tumor suppressor melanoma journal clinical investigation,Medical research
10.23919/EuCAP.2017.7928120,experimental characterization dual linearly polarized transmitarray antenna band,european conference antenna propagation eucap,experimental characterization dual linearly polarized transmitarray antenna band european conference antenna propagation eucap,Computer and information sciences
10.4028/www.scientific.net/MSF.897.731,cvd growth graphene sic influence substrate offcut,material science forum,cvd growth graphene sic influence substrate offcut material science forum,Engineering
10.1103/PhysRevLett.118.221101,observation solar mass binary black hole coalescence redshift,physical review letter,observation solar mass binary black hole coalescence redshift physical review letter,"Physical sciences, Astronomy"
10.1128/genomeA.00292-17,draft genome sequence mycobacterium boenickei cip,genome announcement,draft genome sequence mycobacterium boenickei cip genome announcement,Biology (fond.)
10.1307/mmj/1490639821,curve arrangement pencil jacobian syzygy,michigan mathematical journal,curve arrangement pencil jacobian syzygy michigan mathematical journal,Mathematics
10.4074/S0003503316000348,processus automatiques activités physique bénéfiques pour santé,année psychologique,processus automatiques activités physique bénéfiques pour santé année psychologique,Biology (fond.)
10.1080/1350178X.2017.1335425,mindreading endogenous belief game,journal economic methodology,mindreading endogenous belief game journal economic methodology,Humanities
10.4028/www.scientific.net/MSF.897.79,influence growth temperature site competition effect chemical vapor deposition sic layer,material science forum,influence growth temperature site competition effect chemical vapor deposition sic layer material science forum,Engineering
10.1137/16M1060868,number fixed point disjoint cycle monotone boolean network,siam journal discrete mathematics,number fixed point disjoint cycle monotone boolean network siam journal discrete mathematics,Mathematics
10.1109/ICIST.2017.7926769,ontological approach organizing knowledge base share reuse business workflow template,seventh international conference information science technology icist,ontological approach organizing knowledge base share reuse business workflow template seventh international conference information science technology icist,Computer and information sciences
10.1017/S0025315417000819,seawater warming northern reach southern specie gulf genoa mediterranean,journal marine biological association united kingdom,seawater warming northern reach southern specie gulf genoa mediterranean journal marine biological association united kingdom,Biology (fond.)
10.1364/CLEO_AT.2017.JTh2A.89,phase matched second harmonic generation chip gan microdisks,conference laser electro optic,phase matched second harmonic generation chip gan microdisks conference laser electro optic,"Physical sciences, Astronomy"
10.23919/ROPACES.2017.7916296,numerical study family imex dgtd method time domain maxwell equation,international applied computational electromagnetics society symposium italy ace,numerical study family imex dgtd method time domain maxwell equation international applied computational electromagnetics society symposium italy ace,"Physical sciences, Astronomy"
10.4149/cai_2017_1_223,personalizing improving resource recommendation analyzing user preference social tagging activity,computing informatics,personalizing improving resource recommendation analyzing user preference social tagging activity computing informatics,Computer and information sciences
10.1109/TRO.2017.2700010,inertial aided homography based visual servo control approach almost fully actuated autonomous underwater vehicle,ieee transaction robotics,inertial aided homography based visual servo control approach almost fully actuated autonomous underwater vehicle ieee transaction robotics,Computer and information sciences
10.3917/reco.684.0695,recherche signification perdue paradoxe allais,revue économique,recherche signification perdue paradoxe allais revue économique,Social sciences
10.1103/PhysRevE.95.062611,separation two attractive ferromagnetic ellipsoidal particle hydrodynamic interaction alternating magnetic field,physical review,separation two attractive ferromagnetic ellipsoidal particle hydrodynamic interaction alternating magnetic field physical review,"Physical sciences, Astronomy"
10.1103/PhysRevD.95.042003,all sky search short gravitational wave burst first advanced ligo run,physical review,all sky search short gravitational wave burst first advanced ligo run physical review,"Physical sciences, Astronomy"
10.1002/2017JA024050,efficiency coseismic ionospheric perturbation identifying crustal deformation pattern case study based may nepal earthquake,journal geophysical research space physic,efficiency coseismic ionospheric perturbation identifying crustal deformation pattern case study based may nepal earthquake journal geophysical research space physic,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevD.95.063015,systematic study stochastic gravitational wave background due stellar core collapse,physical review,systematic study stochastic gravitational wave background due stellar core collapse physical review,"Physical sciences, Astronomy"
10.1137/120874448,treewidth related parameter random geometric graph,siam journal discrete mathematics,treewidth related parameter random geometric graph siam journal discrete mathematics,Mathematics
10.1103/PhysRevD.94.123015,dealing missing data microscope space mission adaptation inpainting handle colored noise data,physical review,dealing missing data microscope space mission adaptation inpainting handle colored noise data physical review,"Physical sciences, Astronomy"
10.1364/OL.42.002639,freestanding dielectric nanohole array metasurface mid infrared wavelength application,optic letter,freestanding dielectric nanohole array metasurface mid infrared wavelength application optic letter,"Physical sciences, Astronomy"
10.1103/PhysRevD.95.122003,search gravitational wave scorpius first advanced ligo observing run hidden markov model,physical review,search gravitational wave scorpius first advanced ligo observing run hidden markov model physical review,"Physical sciences, Astronomy"
10.1158/1078-0432.CCR-16-2304,mirna dnmt axis involved azacitidine resistance predicts survival higher risk myelodysplastic syndrome low blast count acute myeloid leukemia,clinical cancer research,mirna dnmt axis involved azacitidine resistance predicts survival higher risk myelodysplastic syndrome low blast count acute myeloid leukemia clinical cancer research,Medical research
10.1109/TSP.2017.2725219,wideband multiple diversity tensor array processing,ieee transaction signal processing,wideband multiple diversity tensor array processing ieee transaction signal processing,Computer and information sciences
10.1681/ASN.2016010012,targeting eifa hypusination prevents anoxic cell death mitochondrial silencing improves kidney transplant outcome,journal american society nephrology,targeting eifa hypusination prevents anoxic cell death mitochondrial silencing improves kidney transplant outcome journal american society nephrology,Medical research
10.1137/15M105207X,analysis generalized dispersive model coupled dgtd method application nanophotonics,siam journal scientific computing,analysis generalized dispersive model coupled dgtd method application nanophotonics siam journal scientific computing,Mathematics
10.1103/PhysRevD.95.082005,search continuous gravitational wave neutron star globular cluster ngc,physical review,search continuous gravitational wave neutron star globular cluster ngc physical review,"Physical sciences, Astronomy"
10.1109/ISBI.2017.7950460,high density molecule localization super resolution microscopy using cel based sparse approximation,ieee international symposium biomedical imaging isbi,high density molecule localization super resolution microscopy using cel based sparse approximation ieee international symposium biomedical imaging isbi,Biology (fond.)
10.1016/j.neurenf.2017.06.002,clinique enfant jeune endeuillé ébauche mise mot suite aux attentats juillet,neuropsychiatrie enfance adolescence,clinique enfant jeune endeuillé ébauche mise mot suite aux attentats juillet neuropsychiatrie enfance adolescence,Medical research
10.1142/S0217751X17501184,massive loop thermal yang mill theory radiative correction pressure beyond two loop,international journal modern physic,massive loop thermal yang mill theory radiative correction pressure beyond two loop international journal modern physic,"Physical sciences, Astronomy"
10.1109/ICMTS.2017.7954274,high voltage mosfets integration advanced cmos technology characterization thick gate oxide incorporating high metal gate stack logic core process,international conference microelectronic test structure icmts,high voltage mosfets integration advanced cmos technology characterization thick gate oxide incorporating high metal gate stack logic core process international conference microelectronic test structure icmts,Engineering
10.1137/16M1074515,theoretical study multidimensional pressureless model unilateral constraint,siam journal mathematical analysis,theoretical study multidimensional pressureless model unilateral constraint siam journal mathematical analysis,Mathematics
10.1002/2017GL073720,ground deformation eruption cotopaxi volcano detected insar,geophysical research letter,ground deformation eruption cotopaxi volcano detected insar geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1109/ISBI.2017.7950554,coherent temporal extrapolation labeled image,ieee international symposium biomedical imaging isbi,coherent temporal extrapolation labeled image ieee international symposium biomedical imaging isbi,Medical research
10.3727/105221617X695519,animal model alcoholic liver disease pathogenesis clinical relevance,gene expression,animal model alcoholic liver disease pathogenesis clinical relevance gene expression,Medical research
10.1002/2016JB013891,toward robust workflow deep crustal imaging fwi ob data eastern nankai trough revisited,journal geophysical research solid earth,toward robust workflow deep crustal imaging fwi ob data eastern nankai trough revisited journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1137/16M1062089,low rank tensor recovery using sequentially optimal modal projection iterative hard thresholding sempiht,siam journal scientific computing,low rank tensor recovery using sequentially optimal modal projection iterative hard thresholding sempiht siam journal scientific computing,Mathematics
10.1103/PhysRevLett.119.010503,phase tuned entangled state generation distant spin qubits,physical review letter,phase tuned entangled state generation distant spin qubits physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevB.95.241306,demonstrating decoupling regime electron phonon interaction quantum dot using chirped optical excitation,physical review,demonstrating decoupling regime electron phonon interaction quantum dot using chirped optical excitation physical review,"Physical sciences, Astronomy"
10.1161/CIRCRESAHA.116.310262,human alternative macrophage populate calcified area atherosclerotic lesion display impaired rankl induced osteoclastic bone resorption activity,circulation research,human alternative macrophage populate calcified area atherosclerotic lesion display impaired rankl induced osteoclastic bone resorption activity circulation research,Medical research
10.1109/MNET.2017.1600203,routing large scale advance challenge complex network,ieee network,routing large scale advance challenge complex network ieee network,Computer and information sciences
10.1523/JNEUROSCI.3775-16.2017,linked intellectual disability protein ilrapl regulates dendrite complexity,journal neuroscience,linked intellectual disability protein ilrapl regulates dendrite complexity journal neuroscience,Biology (fond.)
10.1016/S1672-6529(16)60412-2,nanoparticles covered surface post functionalization aromatic group obtain parahydrophobic surface high water adhesion petal effect,journal bionic engineering,nanoparticles covered surface post functionalization aromatic group obtain parahydrophobic surface high water adhesion petal effect journal bionic engineering,Chemistry
10.1109/IWASI.2017.7974231,low cost antenna technology lpwan iot rural application,ieee international workshop advance sensor interface iwasi,low cost antenna technology lpwan iot rural application ieee international workshop advance sensor interface iwasi,Computer and information sciences
10.1007/JHEP07(2017)054,search relativistic magnetic monopoles five year antares detector data,journal high energy physic,search relativistic magnetic monopoles five year antares detector data journal high energy physic,"Physical sciences, Astronomy"
10.1080/2162402X.2017.1339856,response first line chemotherapy regimen associated efficacy nivolumab non small cell lung cancer,oncoimmunology,response first line chemotherapy regimen associated efficacy nivolumab non small cell lung cancer oncoimmunology,Medical research
10.1074/jbc.M117.776260,new long noncoding rna lncrna induced cutaneous squamous cell carcinoma down regulates several anticancer cell differentiation gene mouse,journal biological chemistry,new long noncoding rna lncrna induced cutaneous squamous cell carcinoma down regulates several anticancer cell differentiation gene mouse journal biological chemistry,Biology (fond.)
10.1364/OL.42.003000,extreme event induced collision forced semiconductor laser,optic letter,extreme event induced collision forced semiconductor laser optic letter,"Physical sciences, Astronomy"
10.1364/AO.56.006272,optical turbulence confined medium part first result using intense instrument,applied optic,optical turbulence confined medium part first result using intense instrument applied optic,"Physical sciences, Astronomy"
10.1093/gji/ggw374,exploring uncertainty range coseismic stress drop estimation large earthquake using finite fault inversion,geophysical journal international,exploring uncertainty range coseismic stress drop estimation large earthquake using finite fault inversion geophysical journal international,"Earth, Ecology, Energy and applied biology"
10.1016/S1957-2557(17)30078-0,perturbateurs endocriniens responsabilités dans obésité diabète type,médecine de malady métaboliques,perturbateurs endocriniens responsabilités dans obésité diabète type médecine de malady métaboliques,Medical research
10.1364/OE.25.017753,demonstration efficient photonic based astronomical spectrograph telescope,optic express,demonstration efficient photonic based astronomical spectrograph telescope optic express,"Physical sciences, Astronomy"
10.12681/mms.1375,meiofaunal diversityand nematode assemblage two submarine cave mediterranean marine protected area,mediterranean marine science,meiofaunal diversityand nematode assemblage two submarine cave mediterranean marine protected area mediterranean marine science,Biology (fond.)
10.1109/TAC.2017.2726179,riccati observer nonstationary pnp problem,ieee transaction automatic control,riccati observer nonstationary pnp problem ieee transaction automatic control,Computer and information sciences
10.1109/ACCESS.2017.2716105,probabilistic model toward controlling smart environment,ieee access,probabilistic model toward controlling smart environment ieee access,Computer and information sciences
10.1109/MAES.2017.160047,security scada system cyber physical attack,ieee aerospace electronic system magazine,security scada system cyber physical attack ieee aerospace electronic system magazine,Computer and information sciences
10.1109/TSP.2017.2709262,classification regression using outer approximation projection gradient method,ieee transaction signal processing,classification regression using outer approximation projection gradient method ieee transaction signal processing,Computer and information sciences
10.1103/PhysRevA.95.053865,population collective mode light scattering many atom,physical review,population collective mode light scattering many atom physical review,"Physical sciences, Astronomy"
10.1103/PhysRevLett.119.033904,nonlocality induces chain nested dissipative soliton,physical review letter,nonlocality induces chain nested dissipative soliton physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevD.96.022005,search high energy neutrino gravitational wave event candidate lvt antares icecube,physical review,search high energy neutrino gravitational wave event candidate lvt antares icecube physical review,"Physical sciences, Astronomy"
10.1107/S1600576717008524,hybrid multiple diffraction semipolar wurtzite material overline oriented znmgo zno heterostructures illustration,journal applied crystallography,hybrid multiple diffraction semipolar wurtzite material overline oriented znmgo zno heterostructures illustration journal applied crystallography,"Physical sciences, Astronomy"
10.1103/PhysRevD.96.022001,search intermediate mass black hole binary first observing run advanced ligo,physical review,search intermediate mass black hole binary first observing run advanced ligo physical review,"Physical sciences, Astronomy"
10.1103/PhysRevLett.119.033903,focusing inside disordered medium generalized wigner smith operator,physical review letter,focusing inside disordered medium generalized wigner smith operator physical review letter,"Physical sciences, Astronomy"
10.1088/1361-6528/aa78e6,selective area growth aln gan nanocolumns gan sapphire semi polar non polar aln pseudo template,nanotechnology,selective area growth aln gan nanocolumns gan sapphire semi polar non polar aln pseudo template nanotechnology,"Physical sciences, Astronomy"
10.1109/WI-IAT.2015.184,simplified detection labeling overlapping community interest question and answer site,ieee wic acm international conference web intelligence intelligent agent technology iat,simplified detection labeling overlapping community interest question and answer site ieee wic acm international conference web intelligence intelligent agent technology iat,Computer and information sciences
10.1103/PhysRevA.96.013803,dynamic threshold mesoscale laser,physical review,dynamic threshold mesoscale laser physical review,"Physical sciences, Astronomy"
10.1109/TPAMI.2016.2615921,optimal transport domain adaptation,ieee transaction pattern analysis machine intelligence,optimal transport domain adaptation ieee transaction pattern analysis machine intelligence,Computer and information sciences
10.1144/SP428.8,progressive orocline formation eastern pontides lesser caucasus,geological society london special publication,progressive orocline formation eastern pontides lesser caucasus geological society london special publication,"Earth, Ecology, Energy and applied biology"
10.1504/IJTM.2017.085695,using patent orchestrate ecosystem stability case french aerospace company,international journal technology management,using patent orchestrate ecosystem stability case french aerospace company international journal technology management,Computer and information sciences
10.37236/6632,total acquisition number random geometric graph,electronic journal combinatorics,total acquisition number random geometric graph electronic journal combinatorics,Mathematics
10.1002/2017GL074698,bayesian rupture imaging complex medium may emilia northern italy earthquake,geophysical research letter,bayesian rupture imaging complex medium may emilia northern italy earthquake geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.3917/cpc.048.0021,crisophilie crisophobie recherche une organisation santé mentale,cahiers psychologie clinique,crisophilie crisophobie recherche une organisation santé mentale cahiers psychologie clinique,Medical research
10.1103/PhysRevA.95.053625,quantum effect cooperative scattering light atomic cloud,physical review,quantum effect cooperative scattering light atomic cloud physical review,"Physical sciences, Astronomy"
10.1109/MAP.2017.2731199,numerical modeling high speed parallel computing new perspective tomographic microwave imaging brain stroke detection monitoring,ieee antenna propagation magazine,numerical modeling high speed parallel computing new perspective tomographic microwave imaging brain stroke detection monitoring ieee antenna propagation magazine,Computer and information sciences
10.1109/WI-IAT.2015.51,answering relation natural language question commercial domain,ieee wic acm international conference web intelligence intelligent agent technology iat,answering relation natural language question commercial domain ieee wic acm international conference web intelligence intelligent agent technology iat,Computer and information sciences
10.1109/ICC.2017.7997453,joint optimization qoe wasted resource due user abandonment mobile video streaming,ieee international conference communication icc,joint optimization qoe wasted resource due user abandonment mobile video streaming ieee international conference communication icc,Computer and information sciences
10.1109/RFIC.2017.7969021,sub thz source integrated low cost silicon photonic technology targeting wireless link,ieee radio frequency integrated circuit symposium rfic,sub thz source integrated low cost silicon photonic technology targeting wireless link ieee radio frequency integrated circuit symposium rfic,Engineering
10.1109/SIES.2017.7993374,power performance aware electronic system level design,ieee international symposium industrial embedded system sies,power performance aware electronic system level design ieee international symposium industrial embedded system sies,Engineering
10.1109/LAWP.2017.2742862,high gain wideband partially reflecting surface antenna ghz system,ieee antenna wireless propagation letter,high gain wideband partially reflecting surface antenna ghz system ieee antenna wireless propagation letter,Computer and information sciences
10.1103/PhysRevLett.119.054102,chaos predictability homogeneous isotropic turbulence,physical review letter,chaos predictability homogeneous isotropic turbulence physical review letter,"Physical sciences, Astronomy"
10.7554/eLife.25659,physiological pathophysiological control synaptic glunb nmda receptor terminal domain amyloid precursor protein,elife,physiological pathophysiological control synaptic glunb nmda receptor terminal domain amyloid precursor protein elife,Biology (fond.)
10.1109/JSYST.2017.2728861,iterative specification modeling simulation formalism general system,ieee system journal,iterative specification modeling simulation formalism general system ieee system journal,Computer and information sciences
10.1109/EMCCompo.2017.7998097,impact nfsi clock circuit gigabit ethernet switch,international workshop electromagnetic compatibility integrated circuit emccompo,impact nfsi clock circuit gigabit ethernet switch international workshop electromagnetic compatibility integrated circuit emccompo,Engineering
10.1090/conm/691/13893,introduction rapid decay property,contemporary mathematics,introduction rapid decay property contemporary mathematics,Mathematics
10.1364/OE.25.022017,abnormal chiral event semiconductor laser coherent injection,optic express,abnormal chiral event semiconductor laser coherent injection optic express,"Physical sciences, Astronomy"
10.1142/S0217732317300300,non perturbative realization qcd gauge invariance,modern physic letter,non perturbative realization qcd gauge invariance modern physic letter,"Physical sciences, Astronomy"
10.1109/TAP.2017.2748383,method determine bound factor given directivity,ieee transaction antenna propagation,method determine bound factor given directivity ieee transaction antenna propagation,Computer and information sciences
10.1109/LAWP.2016.2628883,ultrabroadband antenna robustness body detuning eyewear device,ieee antenna wireless propagation letter,ultrabroadband antenna robustness body detuning eyewear device ieee antenna wireless propagation letter,Computer and information sciences
10.3917/redp.274.0601,jeux coalition oligopoles,revue économie politique,jeux coalition oligopoles revue économie politique,Social sciences
10.1093/mnras/stx1733,support vector machine classification strong gravitational lens,monthly notice royal astronomical society,support vector machine classification strong gravitational lens monthly notice royal astronomical society,"Physical sciences, Astronomy"
10.1137/16M1083414,improving newton method performance parametrization case richards equation,siam journal numerical analysis,improving newton method performance parametrization case richards equation siam journal numerical analysis,Mathematics
10.1109/TITS.2017.2718737,analysis failure tolerance linear access network,ieee transaction intelligent transportation system,analysis failure tolerance linear access network ieee transaction intelligent transportation system,Computer and information sciences
10.17660/ActaHortic.2017.1170.118,next generation microalgae production system photovoltaic greenhouse,acta horticulturae,next generation microalgae production system photovoltaic greenhouse acta horticulturae,Biology (fond.)
10.1109/PHOSST.2017.8012645,iii nitride silicon photonic circuit,ieee photonics society summer topical meeting series sum,iii nitride silicon photonic circuit ieee photonics society summer topical meeting series sum,Engineering
10.1364/OE.25.023035,efficient second harmonic generation low loss planar gan waveguide,optic express,efficient second harmonic generation low loss planar gan waveguide optic express,"Physical sciences, Astronomy"
10.17660/ActaHortic.2017.1170.15,increasing height multiplying number span greenhouse far,acta horticulturae,increasing height multiplying number span greenhouse far acta horticulturae,Biology (fond.)
10.17660/ActaHortic.2017.1170.11,cfd determination climate distribution semi closed greenhouse air cooling,acta horticulturae,cfd determination climate distribution semi closed greenhouse air cooling acta horticulturae,"Earth, Ecology, Energy and applied biology"
10.1109/ICTON.2017.8024764,cost model green fog computing networking,international conference transparent optical network icton,cost model green fog computing networking international conference transparent optical network icton,"Physical sciences, Astronomy"
10.21162/PAKJAS/17.5324,contrasting arthropod community wolfberry orchard different management regime northwestern china,pakistan journal agricultural science,contrasting arthropod community wolfberry orchard different management regime northwestern china pakistan journal agricultural science,Biology (fond.)
10.1186/S40168-017-0273-7,tomato root microbiota phytophthora parasitica associated disease,microbiome,tomato root microbiota phytophthora parasitica associated disease microbiome,Biology (fond.)
10.1103/PhysRevA.96.033632,interaction induced gradient across confined fermion lattice,physical review,interaction induced gradient across confined fermion lattice physical review,"Physical sciences, Astronomy"
10.1109/CVPRW.2017.15,singlet multi resolution motion singularity soccer video abstraction,ieee conference computer vision pattern recognition workshop cvprw,singlet multi resolution motion singularity soccer video abstraction ieee conference computer vision pattern recognition workshop cvprw,Computer and information sciences
10.17660/ActaHortic.2017.1170.52,simulation tomato production photovoltaic greenhouse,acta horticulturae,simulation tomato production photovoltaic greenhouse acta horticulturae,"Earth, Ecology, Energy and applied biology"
10.1109/LSP.2017.2756846,sequential closed form semiblind receiver space time coded multihop relaying system,ieee signal processing letter,sequential closed form semiblind receiver space time coded multihop relaying system ieee signal processing letter,Computer and information sciences
10.1109/JPHOT.2017.2752644,real time experimental measurement swept source vcsel property relevant oct imaging,ieee photonics journal,real time experimental measurement swept source vcsel property relevant oct imaging ieee photonics journal,"Physical sciences, Astronomy"
10.1080/1463922X.2017.1381777,consideration several mental workload category perspective elaboration new ergonomic recommendation concerning shiftwork,theoretical issue ergonomics science,consideration several mental workload category perspective elaboration new ergonomic recommendation concerning shiftwork theoretical issue ergonomics science,Biology (fond.)
10.1109/ICTON.2017.8025031,all optical synchronization quantum communication network,international conference transparent optical network icton,all optical synchronization quantum communication network international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1103/PhysRevLett.119.108001,superpropulsion droplet soft elastic solid,physical review letter,superpropulsion droplet soft elastic solid physical review letter,"Physical sciences, Astronomy"
10.1109/ICTON.2017.8024778,electrical addressing temporal tweezing localized pulse passively mode locked semiconductor laser,international conference transparent optical network icton,electrical addressing temporal tweezing localized pulse passively mode locked semiconductor laser international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1161/STROKEAHA.117.017962,effect high versus moderate intensity training neuroplasticity functional recovery focal ischemia,stroke,effect high versus moderate intensity training neuroplasticity functional recovery focal ischemia stroke,Medical research
10.1103/PhysRevLett.119.141101,three detector observation gravitational wave binary black hole coalescence,physical review letter,three detector observation gravitational wave binary black hole coalescence physical review letter,"Physical sciences, Astronomy"
10.7566/JPSJ.86.101010,hydrodynamic equation flocking model without velocity alignment,journal physical society japan,hydrodynamic equation flocking model without velocity alignment journal physical society japan,"Physical sciences, Astronomy"
10.1103/PhysRevLett.119.130503,improving solid state qubit engineered mesoscopic environment,physical review letter,improving solid state qubit engineered mesoscopic environment physical review letter,"Physical sciences, Astronomy"
10.1364/OL.42.003856,observation polarization maintaining light propagation depoled compositionally disordered ferroelectrics,optic letter,observation polarization maintaining light propagation depoled compositionally disordered ferroelectrics optic letter,"Physical sciences, Astronomy"
10.1109/TAP.2017.2752223,new family exponential based high order dgtd method modeling transient multiscale electromagnetic problem,ieee transaction antenna propagation,new family exponential based high order dgtd method modeling transient multiscale electromagnetic problem ieee transaction antenna propagation,Computer and information sciences
10.1142/S0219198917500207,stackelberg oligopoly game characterization nonemptiness core,international game theory review,stackelberg oligopoly game characterization nonemptiness core international game theory review,Computer and information sciences
10.1080/1747423X.2017.1385654,impact vineyard area dynamic soil erosion mediterranean catchment,journal land use science,impact vineyard area dynamic soil erosion mediterranean catchment journal land use science,"Earth, Ecology, Energy and applied biology"
10.1091/mbc.E17-01-0080,force induced transcellular tunnel formation endothelial cell,molecular biology cell,force induced transcellular tunnel formation endothelial cell molecular biology cell,Biology (fond.)
10.1364/OME.7.003760,determination reverse cross relaxation process constant doped glass fluorescence decay tail fitting,optical material express,determination reverse cross relaxation process constant doped glass fluorescence decay tail fitting optical material express,"Physical sciences, Astronomy"
10.1103/PhysRevB.96.115312,interface dipole band bending hybrid heterojunction mo gan,physical review,interface dipole band bending hybrid heterojunction mo gan physical review,Engineering
10.1093/mnras/stx1877,climbing cosmic ladder stellar twin rave gaia,monthly notice royal astronomical society,climbing cosmic ladder stellar twin rave gaia monthly notice royal astronomical society,"Earth, Ecology, Energy and applied biology"
10.1109/ACCESS.2017.2753578,multistatic millimeter wave imaging multiview portable camera,ieee access,multistatic millimeter wave imaging multiview portable camera ieee access,Computer and information sciences
10.17660/ActaHortic.2017.1170.117,time photovoltaic greenhouse,acta horticulturae,time photovoltaic greenhouse acta horticulturae,"Earth, Ecology, Energy and applied biology"
10.1103/PhysRevE.96.032102,formation relaxation quasistationary state particle system power law interaction,physical review,formation relaxation quasistationary state particle system power law interaction physical review,"Physical sciences, Astronomy"
10.1103/PhysRevE.96.032221,fluctuation established transmission presence complex environment,physical review,fluctuation established transmission presence complex environment physical review,"Physical sciences, Astronomy"
10.1103/PhysRevB.96.115413,fingerprint majorana fermion current correlation measurement superconducting tunnel microscope,physical review,fingerprint majorana fermion current correlation measurement superconducting tunnel microscope physical review,"Physical sciences, Astronomy"
10.1093/mnras/stx2039,semi empirical model magnetic braking solar type star,monthly notice royal astronomical society,semi empirical model magnetic braking solar type star monthly notice royal astronomical society,"Physical sciences, Astronomy"
10.3917/cm.096.0147,destin trace clinique dans contemporain,cliniques méditerranéennes,destin trace clinique dans contemporain cliniques méditerranéennes,Humanities
10.4018/IJSWIS.2017100107,allied,international journal semantic web information system,allied international journal semantic web information system,Computer and information sciences
10.1109/TGRS.2017.2740362,high resolution aerial image labeling convolutional neural network,ieee transaction geoscience remote sensing,high resolution aerial image labeling convolutional neural network ieee transaction geoscience remote sensing,"Earth, Ecology, Energy and applied biology"
10.3847/1538-4357/aa7cf6,origin evolution short period comet,astrophysical journal,origin evolution short period comet astrophysical journal,"Physical sciences, Astronomy"
